,I0,G0,exp_r1,exp_r2,exp_r3,exp_r4,exp_r5,exp_r6,S0.5,S1.0,S1.5,S2.0,S2.5,S3.0,tmp1,tmp2,Capital_gain_Family_Office,G3,Product_Family_Office_after_tax_income_G_irr_values,tmp3,I3,Div1,Div2,Div3,Div4,Div5,Div6,Gross_Div1,Gross_Div2,Gross_Div3,Gross_Div4,Gross_Div5,Gross_Div6,FC1,FC2,FC3,FC4,FC5,FC6,Share_Fammily_Office_after_tax_income_irr_values,Product_Super_Fund_after_tax_income_I_irr_values,Share_Super_Fund_after_tax_income_irr_values,Product Sum Cashflow0,Product Sum Cashflow1,Product Sum Cashflow2,Product Sum Cashflow3,Product Sum Cashflow4,Product Sum Cashflow5,Product Sum Cashflow6,Sum_of_the_Growth_and_Income_products_irr
0,48.56,51.44,0.9136410236094895,1.1209197643913833,1.013937344463988,0.9481178432717762,0.928567065487847,0.9439308028358917,91.36410236094895,102.41182809226513,103.83917701757376,98.45177656101822,91.41907725332989,86.29328298625208,-7.050735231871929,0.0,-5.393812452382026,46.046187547617976,-0.03658495125504957,-6.65598178187599,43.46817393686487,1.5988717913166068,1.79220699161464,1.817185597807541,1.722906089817819,1.599833851933273,1.5101324522594115,2.284102559023724,2.560295702306629,2.5959794254393445,2.461294414025456,2.2854769313332475,2.1573320746563023,0.6167076909364055,0.69127983962279,0.7009144448686231,0.6645494917868732,0.6170787714599769,0.5824796601572018,-0.002601990744878435,0.033397261145292845,-0.002601990744878435,-100.0,1.5509056375771086,1.7384407818662009,1.762670029873315,1.6712189071232844,1.551838836375275,90.97918996317448,-0.002601990744878435
1,48.56,51.44,1.043451304631906,1.0340903944691253,1.0229383085750006,1.043679366637302,0.9458724942789253,0.8287860915446733,104.3451304631906,107.90229712161312,110.37739330894007,115.19860793975096,108.96319462943224,90.30718019914868,-4.985986505557921,0.0,-3.8142796767518097,47.62572032324819,-0.025516865056213867,-4.7068332952934036,44.959272529100545,1.8260397831058357,1.8882901996282297,1.9316043829064515,2.015975638945642,1.9068559060150643,1.580375653485102,2.6086282615797654,2.6975574280403283,2.7594348327235023,2.879965198493774,2.7240798657358063,2.257679504978717,0.7043296306265368,0.7283405055708887,0.7450474048353457,0.7775906035933192,0.7355015637486678,0.6095734663442537,0.01170143570124349,0.05114043362855947,0.01170143570124349,-100.0,1.7712585896126605,1.8316414936393828,1.8736562514192578,1.9554963697772727,1.8496502288346122,94.11795723622927,0.011701435701244378
2,48.56,51.44,0.9784076537401349,1.1567141250143755,1.083162993830822,1.080625140872484,1.0628721173484006,1.03283780852553,97.8407653740135,113.17379531033883,122.58566695154326,132.46915361845885,140.7977697898019,145.42125999498106,0.0,45.42125999498106,34.74726389616051,86.18726389616052,0.17965128557360766,0.0,48.56,1.7122133940452364,1.9805414179309297,2.1452491716520075,2.31821018832303,2.463960971321533,2.544872049912169,2.4460191343503377,2.829344882758471,3.064641673788582,3.311728840461472,3.5199442447450475,3.6355314998745274,0.6604251662745911,0.7639231183447872,0.8274532519229173,0.8941667869245976,0.950384946081163,0.9815935049661227,0.13918472482554556,0.08683660456952014,0.13918472482554556,-100.0,1.6608469922238793,1.9211251753930016,2.080891696502447,2.2486638826733394,2.390042142181887,137.21578978457532,0.13918472482554556
3,48.56,51.44,1.0108932930969505,0.9336774528954361,1.2330345485278806,1.0324673691427946,0.9801229818827005,0.975810227535732,101.08932930969505,94.38482750478403,116.37975317024326,120.15829757716887,117.76990891928362,114.92108161938859,0.0,14.921081619388588,11.41462743883227,62.85462743883227,0.06793100667057361,0.0,48.56,1.7690632629196634,1.6517344813337207,2.0366456804792574,2.1027702076004555,2.0609734060874634,2.0111189283393003,2.5272332327423763,2.3596206876196013,2.9094938292560824,3.0039574394292226,2.944247722982091,2.8730270404847147,0.6823529728404416,0.6370975856572926,0.7855633338991425,0.8110685086458903,0.7949468852051648,0.775717300930873,0.07222167226136511,0.07713341376760896,0.07222167226136511,-100.0,1.7159913650320733,1.6021824468937094,1.9755463100648798,2.0396871013724422,1.9991442039048395,113.36541279932139,0.07222167226136511
4,48.56,51.44,1.0652284757568837,0.9398538263195759,1.2076606589219983,1.02080900445293,1.036797921871517,0.9602963115601747,106.52284757568837,100.11590588446768,120.906040869009,123.42197521183836,127.96364741291191,122.883018624406,0.0,22.883018624406006,17.505509247670595,68.9455092476706,0.10005579305433532,0.0,48.56,1.8641498325745467,1.7520283529781846,2.115855715207658,2.1598845662071713,2.2393638297259586,2.1504528259271054,2.66307118939221,2.5028976471116926,3.022651021725226,3.085549380295959,3.199091185322798,3.0720754656101508,0.7190292211358968,0.6757823647201572,0.8161157758658112,0.833098332679909,0.8637546200371556,0.8294603757147408,0.09152082184805721,0.08138386660618746,0.09152082184805721,-100.0,1.8082253375973103,1.699467502388839,2.052380043751428,2.095088029220956,2.17218291483418,119.59144848881989,0.09152082184805721
5,48.56,51.44,1.0191354418592407,0.9831629385097715,0.9383512395919241,0.9171128707181927,0.8662918509289941,1.1998731182238453,101.91354418592407,100.19761957577855,94.02056053309184,86.22746617703747,74.69815127542303,89.62830369639835,-5.33520057857269,0.0,-4.081428442608107,47.35857155739189,-0.027367118143551528,-5.036495725028963,44.707080770352846,1.7834870232536713,1.7534583425761248,1.6453598093291073,1.508980658098156,1.307217647319903,1.5684953146869713,2.547838604648102,2.504940489394464,2.350514013327296,2.155686654425937,1.8674537818855759,2.2407075924099593,0.6879164232549876,0.6763339321365054,0.63463878359837,0.5820353966950031,0.5042125211091055,0.6049910499506892,0.004648302875286614,0.03866651452720671,0.004648302875286614,-100.0,1.7299824125560612,1.7008545922988412,1.595999015049234,1.4637112383552113,1.268001117900306,93.5870927829911,0.004648302875286614
6,48.56,51.44,1.0375004043367002,1.0151963744503478,0.994480458090775,0.9794862183791712,1.0591071326772317,1.057715418938182,103.75004043367002,105.3266648973388,104.74530995627904,102.59658754202991,108.66077765410789,114.93217995856338,0.0,14.932179958563381,11.423117668300987,62.86311766830099,0.06797755911868819,0.0,48.56,1.8156257075892255,1.8432166357034292,1.8330429242348834,1.7954402819855235,1.9015636089468881,2.0113131492748595,2.5937510108417507,2.6331666224334707,2.6186327489069763,2.564914688550748,2.7165194413526974,2.8733044989640852,0.7003127729272728,0.7109549880570374,0.7070308422048837,0.692526965908702,0.7334602491652283,0.7757922147203032,0.07098793001115888,0.07444267287193318,0.07098793001115888,-100.0,1.7611569363615487,1.7879201366323265,1.778051636507837,1.7415770735259577,1.8445167006784813,113.37409142309761,0.07098793001115888
7,48.56,51.44,1.1202581536401368,1.050241499053178,0.9749417173407876,0.9721600847557621,1.0777885835540033,1.0386956405161218,112.02581536401368,117.65416026055628,114.70594905671499,111.51254515696617,120.1869480932284,124.83765903137376,0.0,24.83765903137376,19.000809159000926,70.44080915900092,0.1075791412153011,0.0,48.56,1.9604517688702396,2.058947804559735,2.0073541084925126,1.9514695402469082,2.103271591631497,2.184659033049041,2.8006453841003425,2.9413540065139077,2.867648726417875,2.787813628924155,3.0046737023307104,3.1209414757843446,0.7561742537070926,0.7941655817587553,0.7742651561328263,0.752709679809522,0.8112618996292921,0.842654198461773,0.09574095434062402,0.08151665593504509,0.09574095434062402,-100.0,1.9016382158041325,1.9971793704229432,1.947133485237737,1.892925454039501,2.0401734438825523,121.11992842105849,0.09574095434062402
8,48.56,51.44,0.963481379342189,1.0793670837574163,0.993695828636518,1.0940256155175472,0.9927056822325199,1.0079300879308257,96.3481379342189,103.99500866751515,103.33940631192833,113.0559575976253,112.23129151740146,113.12129552772458,0.0,13.121295527724584,10.037791078709306,61.4777910787093,0.060311459679366575,0.0,48.56,1.686092413848831,1.8199126516815154,1.808439610458746,1.978479257958443,1.9640476015545256,1.9796226717351804,2.408703448355473,2.599875216687879,2.5834851577982088,2.826398939940633,2.805782287935037,2.828032388193115,0.6503499310559777,0.7019663085057274,0.6975409926055166,0.7631277137839712,0.7575612177424602,0.7635687448121411,0.06698605200553764,0.07456422692339038,0.06698605200553764,-100.0,1.6355096414333659,1.7653152721310696,1.7541864221449837,1.9191248802196896,1.9051261735078897,111.95802507029242,0.06698605200553764
9,48.56,51.44,1.1418383976459185,0.9927905758828733,1.1878204365096676,0.8715186725718368,1.0393267242128754,1.0698692775379464,114.18383976459185,113.36064003640688,134.65208493106013,117.35180631814775,121.96686844110432,130.48860542265004,0.0,30.48860542265004,23.32378314832728,74.76378314832728,0.12860484927515392,0.0,48.56,1.9982171958803576,1.9838112006371205,2.3564114862935526,2.053656610567586,2.134420197719326,2.2835505948963757,2.854595994114797,2.8340160009101725,3.366302123276504,2.9337951579536945,3.0491717110276086,3.262215135566251,0.7707409184109953,0.7651843202457468,0.9089015732846562,0.7921246926474977,0.8232763619774546,0.8807980866028878,0.10908363465749238,0.0850752074638299,0.10908363465749238,-100.0,1.9382706800039469,1.924296864618007,2.285719141704746,1.9920469122505586,2.070387591787746,125.53882722537676,0.10908363465749238
