DEBUG 2024-12-30 12:29:27,144 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1734592843.8535738
DEBUG 2024-12-30 12:29:27,144 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_expired_attrs_2_0.py first seen with mtime 1734592878.688235
DEBUG 2024-12-30 12:29:27,145 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\linalg\_isolve\_gcrotmk.py first seen with mtime 1734661413.2229757
DEBUG 2024-12-30 12:29:27,145 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1734592818.3366833
DEBUG 2024-12-30 12:29:27,146 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1734592818.0087676
DEBUG 2024-12-30 12:29:27,147 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1734592819.8247032
DEBUG 2024-12-30 12:29:27,147 autoreload 37192 10332 File C:\Python312\Lib\wsgiref\__init__.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,148 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\integrate\lsoda.py first seen with mtime 1734661412.5730677
DEBUG 2024-12-30 12:29:27,148 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\_libs\hashing.cp312-win_amd64.pyd first seen with mtime 1734592884.7361438
DEBUG 2024-12-30 12:29:27,149 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_core\umath.py first seen with mtime 1734592878.9612942
DEBUG 2024-12-30 12:29:27,149 autoreload 37192 10332 File C:\Python312\Lib\pydoc.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,150 autoreload 37192 10332 File C:\Python312\Lib\urllib\response.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,151 autoreload 37192 10332 File C:\Python312\Lib\argparse.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,151 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\indexes\multi.py first seen with mtime 1734592884.1709456
DEBUG 2024-12-30 12:29:27,152 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1734592819.9350076
DEBUG 2024-12-30 12:29:27,152 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy_financial\__init__.py first seen with mtime 1734661430.2385714
DEBUG 2024-12-30 12:29:27,153 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\dateutil\parser\isoparser.py first seen with mtime 1734592883.9089205
DEBUG 2024-12-30 12:29:27,153 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\sparse\dok.py first seen with mtime 1734661413.1154594
DEBUG 2024-12-30 12:29:27,154 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\simulation01\models.py first seen with mtime 1734661533.355031
DEBUG 2024-12-30 12:29:27,154 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\indexes\frozen.py first seen with mtime 1734592884.1699438
